Bangla,English,Botany,Zoology,Physics,Chemistry,Math,Ict,Gpa
58,60,45,52,51,55,40,54,4
67,56,45,46,53,50,40,58,4
50,54,49,59,54,63,34,51,4
62,61,48,59,44,53,40,47,4
60,52,57,59,50,40,45,48,4
43,55,44,57,42,54,60,53,4
57,56,44,60,45,46,41,56,4
73,58,52,53,51,49,57,59,3.93
63,60,55,61,48,53,37,56,3.93
60,60,55,55,48,53,28,71,3.93
55,65,53,51,51,61,25,68,3.93
58,62,51,60,47,55,38,58,3.93
83,52,47,47,55,47,37,60,3.93
56,52,52,61,53,53,35,61,3.93
63,51,50,61,47,65,29,57,3.93
61,60,54,53,52,56,20,65,3.93
63,55,56,57,50,52,34,58,3.92
61,65,49,58,48,59,30,47,3.92
61,54,47,54,49,56,36,59,3.92
63,48,46,53,55,48,31,66,3.92
66,50,46,56,40,50,34,61,3.92
52,55,50,56,48,47,39,54,3.92
50,54,46,41,61,50,41,48,3.92
77,60,51,56,59,59,37,57,3.86
75,61,56,53,59,48,34,59,3.86
47,57,54,59,51,55,49,60,3.86
53,65,45,51,45,51,51,65,3.86
65,62,56,60,49,49,22,53,3.86
64,62,50,56,53,47,19,64,3.86
63,60,57,62,50,45,17,56,3.86
64,57,52,58,44,53,36,59,3.83
67,55,47,52,53,52,33,57,3.83
68,60,51,48,51,49,34,55,3.83
46,60,54,56,46,57,35,58,3.83
59,60,45,48,54,47,35,54,3.83
60,58,49,61,49,43,34,48,3.83
56,57,50,60,39,54,35,51,3.83
56,54,47,54,46,44,42,58,3.83
53,55,56,54,46,51,31,55,3.83
57,52,51,47,53,43,31,62,3.83
51,58,48,55,41,46,33,63,3.83
54,54,42,65,35,41,41,63,3.83
60,56,42,56,42,46,38,54,3.83
61,51,41,48,40,54,36,62,3.83
53,56,49,55,31,49,39,61,3.83
67,33,48,45,53,45,40,60,3.83
50,64,45,49,48,41,31,61,3.83
69,60,54,51,55,54,37,54,3.79
77,57,52,51,47,60,30,59,3.79
79,60,46,49,36,61,29,65,3.79
76,56,59,50,47,47,30,60,3.79
72,53,50,59,45,48,31,60,3.79
60,62,52,59,50,47,16,61,3.79
60,56,51,55,46,53,17,68,3.79
61,55,46,54,60,50,25,54,3.79
68,54,53,56,36,63,26,58,3.75
67,63,53,59,45,43,29,54,3.75
53,51,37,49,58,56,44,53,3.75
60,58,44,52,38,49,39,59,3.75
64,55,48,59,38,49,30,55,3.75
70,60,43,44,53,43,30,54,3.75
54,56,32,53,54,47,39,59,3.75
63,50,53,61,34,50,31,49,3.75
57,52,49,50,46,42,31,62,3.75
66,55,58,57,51,59,32,57,3.71
68,50,56,58,54,50,31,59,3.71
77,58,57,51,44,50,25,62,3.71
58,54,46,59,52,56,39,59,3.71
74,50,52,48,51,45,23,61,3.71
53,60,40,56,53,47,31,63,3.71
50,60,53,64,42,43,38,51,3.71
71,57,44,54,45,45,23,60,3.71
51,52,51,60,49,48,39,47,3.71
64,50,46,56,52,47,21,60,3.71
52,50,51,59,45,60,19,59,3.71
52,61,41,46,54,54,20,62,3.71
57,67,41,56,57,47,29,57,3.67
68,46,58,47,59,40,35,58,3.67
78,60,35,49,40,56,28,60,3.67
58,51,46,52,50,52,29,65,3.67
56,57,48,57,30,50,44,58,3.67
44,56,44,57,53,58,25,61,3.67
65,54,43,56,54,53,27,46,3.67
44,54,47,56,56,55,31,52,3.67
54,60,45,51,39,48,29,65,3.67
55,50,50,61,49,43,26,54,3.67
52,54,48,56,55,44,30,48,3.67
50,42,47,49,56,55,31,56,3.67
58,55,41,46,47,42,31,61,3.67
52,50,43,53,45,45,34,53,3.67
74,58,52,57,54,46,35,48,3.64
56,56,58,59,43,51,33,68,3.64
47,70,53,52,52,52,31,66,3.64
55,60,57,58,44,56,34,58,3.64
69,56,44,54,42,57,33,62,3.64
74,67,49,61,37,45,26,56,3.64
74,57,47,61,41,50,31,52,3.64
51,56,55,64,38,56,34,46,3.64
65,60,47,53,35,53,24,61,3.64
54,50,42,60,53,48,33,55,3.64
73,50,47,59,45,47,15,58,3.64
64,43,51,53,52,44,26,61,3.58
49,60,50,55,40,47,35,57,3.58
57,57,36,45,38,56,37,67,3.58
69,57,45,44,39,49,30,59,3.58
65,45,43,52,49,41,36,61,3.58
51,56,43,46,46,52,33,57,3.58
51,45,44,63,52,42,26,61,3.58
50,45,41,51,49,52,32,62,3.58
46,41,55,48,45,53,40,52,3.58
71,50,36,47,39,42,33,60,3.58
50,50,43,53,48,47,31,52,3.58
50,52,54,58,38,39,30,46,3.58
67,52,55,59,43,44,39,50,3.57
73,46,51,62,50,51,28,48,3.57
72,53,48,48,42,38,40,56,3.57
78,56,46,42,50,39,24,61,3.57
56,61,51,63,38,40,30,57,3.57
53,54,43,53,52,48,28,61,3.57
50,60,32,56,53,45,36,60,3.57
73,41,54,50,38,45,19,61,3.57
70,55,38,52,38,45,22,61,3.57
71,50,38,52,42,45,13,60,3.57
47,58,50,51,52,54,32,67,3.5
47,65,42,55,45,46,33,68,3.5
52,45,49,49,57,57,43,49,3.5
72,56,39,43,50,45,28,57,3.5
66,55,54,41,49,37,27,60,3.5
,58,44,56,54,47,32,51,3.5
59,56,40,52,48,43,31,57,3.5
48,60,38,51,34,53,36,62,3.5
60,48,45,60,39,46,31,53,3.5
67,45,48,45,34,46,38,58,3.5
41,55,47,57,54,48,26,53,3.5
