"Rank","Bangla","English","Botany","Zoology","Physics","Chemistry","Math","Ict","Total","Gpa"
"351","51","56","55","64","38","56","34","46","400","3.64"
"352","65","60","47","53","35","53","24","61","398","3.64"
"353","54","50","42","60","53","48","33","55","395","3.64"
"354","73","50","47","59","45","47","15","58","394","3.64"
"355","64","43","51","53","52","44","26","61","394","3.58"
"356","49","60","50","55","40","47","35","57","393","3.58"
"357","57","57","36","45","38","56","37","67","393","3.58"
"358","69","57","45","44","39","49","30","59","392","3.58"
"359","65","45","43","52","49","41","36","61","392","3.58"
"364","51","56","43","46","46","52","33","57","384","3.58"
"365","51","45","44","63","52","42","26","61","384","3.58"
"366","50","45","41","51","49","52","32","62","382","3.58"
"367","46","41","55","48","45","53","40","52","380","3.58"
"368","71","50","36","47","39","42","33","60","378","3.58"
"369","50","50","43","53","48","47","31","52","374","3.58"
"370","50","52","54","58","38","39","30","46","367","3.58"
"371","67","52","55","59","43","44","39","50","409","3.57"
"372","73","46","51","62","50","51","28","48","409","3.57"
"377","72","53","48","48","42","38","40","56","397","3.57"
"378","78","56","46","42","50","39","24","61","396","3.57"
"379","56","61","51","63","38","40","30","57","396","3.57"
"380","53","54","43","53","52","48","28","61","392","3.57"
"381","50","60","32","56","53","45","36","60","392","3.57"
"382","73","41","54","50","38","45","19","61","381","3.57"
"383","70","55","38","52","38","45","22","61","381","3.57"
"384","71","50","38","52","42","45","13","60","371","3.57"
"385","47","58","50","51","52","54","32","67","411","3.5"
"386","47","65","42","55","45","46","33","68","401","3.5"
"387","52","45","49","49","57","57","43","49","401","3.5"
"394","72","56","39","43","50","45","28","57","390","3.5"
"395","66","55","54","41","49","37","27","60","389","3.5"
"396","","58","44","56","54","47","32","51","388","3.5"
"397","59","56","40","52","48","43","31","57","386","3.5"
"398","48","60","38","51","34","53","36","62","382","3.5"
"399","60","48","45","60","39","46","31","53","382","3.5"
"400","67","45","48","45","34","46","38","58","381","3.5"
"401","41","55","47","57","54","48","26","53","381","3.5"
